home,office,home_lat,home_lon,office_lat,office_lon,day_of_week,time,duration_mins,date,day,direction,travel_time_minutes,Date,OnlyTime
Whitefield,BTM Layout,12.9698,77.7499,12.9166,77.6101,Saturday,2025-03-15 18:15:00,71.88333333333334,,,,,2025-03-15,18:15:00
RT Nagar,Sarjapur,13.0086,77.5917,12.8618,77.79,Monday,2025-01-20 18:30:00,96.96666666666668,,,,,2025-01-20,18:30:00
Kengeri,BTM Layout,12.9141,77.5145,12.9166,77.6101,Wednesday,2025-03-05 08:30:00,44.4,,,,,2025-03-05,08:30:00
HSR Layout,Yelahanka,12.9121,77.6446,13.1007,77.5963,Saturday,2025-03-22 08:00:00,58.45,,,,,2025-03-22,08:00:00
Vijayanagar,Koramangala,12.9798,77.5441,12.9352,77.6245,Friday,2025-01-31 18:00:00,65.16666666666667,,,,,2025-01-31,18:00:00
Marathahalli,Electronic City,12.955,77.7019,12.8452,77.66,Thursday,2025-04-10 08:45:00,39.55,,,,,2025-04-10,08:45:00
Hebbal,Indiranagar,13.0352,77.5912,12.9716,77.6412,Friday,2025-01-17 08:45:00,34.916666666666664,,,,,2025-01-17,08:45:00
Indiranagar,Yelahanka,12.9716,77.6412,13.1007,77.5963,Thursday,2025-03-20 08:45:00,48.61666666666667,,,,,2025-03-20,08:45:00
Basavanagudi,Whitefield,12.9407,77.5848,12.9698,77.7499,Tuesday,2025-02-18 08:15:00,65.55,,,,,2025-02-18,08:15:00
Malleshwaram,MG Road,13.0097,77.569,12.9756,77.605,Monday,2025-01-20 08:45:00,25.73333333333333,,,,,2025-01-20,08:45:00
Jayanagar,Marathahalli,12.925,77.5938,12.955,77.7019,Wednesday,2025-04-09 18:30:00,55.03333333333333,,,,,2025-04-09,18:30:00
Rajajinagar,Koramangala,12.9911,77.556,12.9352,77.6245,Sunday,2025-03-16 08:30:00,37.28333333333333,,,,,2025-03-16,08:30:00
Whitefield,Nagavara,12.9698,77.7499,13.0458,77.6245,Wednesday,2025-02-26 18:45:00,62.53333333333333,,,,,2025-02-26,18:45:00
Rajajinagar,Electronic City,12.9911,77.556,12.8452,77.66,Monday,2025-04-07 18:15:00,68.0,,,,,2025-04-07,18:15:00
Marathahalli,Vijayanagar,12.955,77.7019,12.9798,77.5441,Sunday,2025-03-30 18:00:00,58.88333333333333,,,,,2025-03-30,18:00:00
Marathahalli,Whitefield,12.955,77.7019,12.9698,77.7499,Thursday,2025-02-20 18:45:00,27.766666666666666,,,,,2025-02-20,18:45:00
Nagavara,Kengeri,13.0458,77.6245,12.9141,77.5145,Friday,2025-01-17 18:00:00,80.25,,,,,2025-01-17,18:00:00
HSR Layout,Electronic City,12.9121,77.6446,12.8452,77.66,Tuesday,2025-02-04 08:45:00,23.23333333333333,,,,,2025-02-04,08:45:00
Rajajinagar,Koramangala,12.9911,77.556,12.9352,77.6245,Wednesday,2025-03-19 08:00:00,45.38333333333333,,,,,2025-03-19,08:00:00
Marathahalli,Yelahanka,12.955,77.7019,13.1007,77.5963,Wednesday,2025-01-15 08:30:00,54.38333333333333,,,,,2025-01-15,08:30:00
Marathahalli,Whitefield,12.955,77.7019,12.9698,77.7499,Sunday,2025-03-09 08:45:00,18.0,,,,,2025-03-09,08:45:00
RT Nagar,Sarjapur,13.0086,77.5917,12.8618,77.79,Sunday,2025-02-23 08:00:00,73.13333333333334,,,,,2025-02-23,08:00:00
Vijayanagar,RT Nagar,12.9798,77.5441,13.0086,77.5917,Wednesday,2025-03-05 18:30:00,29.633333333333333,,,,,2025-03-05,18:30:00
BTM Layout,Sarjapur,12.9166,77.6101,12.8618,77.79,Monday,2025-03-31 18:45:00,58.66666666666666,,,,,2025-03-31,18:45:00
Malleshwaram,Rajajinagar,13.0097,77.569,12.9911,77.556,Tuesday,2025-02-11 08:15:00,13.0,,,,,2025-02-11,08:15:00
MG Road,Whitefield,12.9756,77.605,12.9698,77.7499,Sunday,2025-04-06 18:30:00,50.25,,,,,2025-04-06,18:30:00
MG Road,Marathahalli,12.9756,77.605,12.955,77.7019,Wednesday,2025-02-05 08:15:00,45.05,,,,,2025-02-05,08:15:00
MG Road,Koramangala,12.9756,77.605,12.9352,77.6245,Friday,2025-03-28 08:15:00,23.516666666666666,,,,,2025-03-28,08:15:00
