Customer_ID,Date,Day_Of_Week,Trip_Type,Time_Of_Day,Start_Lat,Start_Lon,End_Lat,End_Lon,Distance_KM,Travel_Time_Minutes
1,2023-01-01,Sunday,Home_to_Office,7:45,12.97877,77.592759,12.95723,77.614378,3.39,5.0
1,2023-01-01,Sunday,Office_to_Home,18:00,12.95723,77.614378,12.97877,77.592759,3.39,7.4
2,2023-01-01,Sunday,Home_to_Office,7:30,12.901048,77.535521,12.944962,77.682184,16.99,30.86
2,2023-01-01,Sunday,Office_to_Home,17:30,12.944962,77.682184,12.901048,77.535521,16.99,34.3
3,2023-01-01,Sunday,Home_to_Office,8:15,12.912122,77.698668,12.932292,77.60344,10.8,15.75
3,2023-01-01,Sunday,Office_to_Home,20:15,12.932292,77.60344,12.912122,77.698668,10.8,26.18
4,2023-01-01,Sunday,Home_to_Office,9:15,12.98495,77.552451,13.047475,77.61595,9.89,15.48
4,2023-01-01,Sunday,Office_to_Home,18:15,13.047475,77.61595,12.98495,77.552451,9.89,17.91
5,2023-01-01,Sunday,Home_to_Office,9:45,13.029297,77.659122,12.955567,77.682452,8.58,15.64
5,2023-01-01,Sunday,Office_to_Home,17:15,12.955567,77.682452,13.029297,77.659122,8.58,14.65
6,2023-01-01,Sunday,Home_to_Office,9:15,13.090188,77.620676,12.972083,77.540657,15.84,27.88
6,2023-01-01,Sunday,Office_to_Home,19:15,12.972083,77.540657,13.090188,77.620676,15.84,31.26
7,2023-01-01,Sunday,Home_to_Office,10:30,13.058548,77.553486,13.064227,77.573454,2.3,5.67
7,2023-01-01,Sunday,Office_to_Home,20:00,13.064227,77.573454,13.058548,77.553486,2.3,5.0
8,2023-01-01,Sunday,Home_to_Office,10:30,13.04274,77.521537,13.058356,77.647595,14.1,24.03
8,2023-01-01,Sunday,Office_to_Home,17:45,13.058356,77.647595,13.04274,77.521537,14.1,29.23
9,2023-01-01,Sunday,Home_to_Office,10:00,12.997693,77.645631,13.05934,77.676446,7.65,11.91
9,2023-01-01,Sunday,Office_to_Home,17:00,13.05934,77.676446,12.997693,77.645631,7.65,16.12
10,2023-01-01,Sunday,Home_to_Office,9:15,13.019928,77.598829,12.913102,77.562878,12.51,20.96
10,2023-01-01,Sunday,Office_to_Home,18:15,12.913102,77.562878,13.019928,77.598829,12.51,23.6
11,2023-01-01,Sunday,Home_to_Office,8:45,12.908455,77.56512,13.012702,77.591889,11.95,18.43
11,2023-01-01,Sunday,Office_to_Home,17:00,13.012702,77.591889,12.908455,77.56512,11.95,24.86
